Reporting range=["Quarterly"],Select year=["2025"],Select quarter=["1"]
"ASIN title",ASIN,Category,"Impressions: Impressions","Impressions: Rating (Median)","Impressions: Price (Median)","Impressions: Same-Day Shipping Speed","Impressions: 1D-Shipping Speed","Impressions: 2D-Shipping Speed","Clicks: Clicks","Clicks: Click Rate (CTR)","Clicks: Price (Median)","Clicks: Same-Day Shipping Speed","Clicks: 1D-Shipping Speed","Clicks: 2D-Shipping Speed","Basket Adds: Basket Adds","Basket Adds: Price (Median)","Basket Adds: Same-Day Shipping Speed","Basket Adds: 1D-Shipping Speed","Basket Adds: 2D-Shipping Speed","Purchases: Purchases","Purchases: Search Traffic Sales","Purchases: Conversion Rate %","Purchases: Rating (Median)","Purchases: Price (Median)","Purchases: Same-Day Shipping Speed","Purchases: 1D-Shipping Speed","Purchases: 2D-Shipping Speed","Reporting Date"
"NEWELEVEN Christmas Gifts Book Lovers Book Lovers Gifts Women Her Friends Bookshelf Cup Book Accessories Bookish Gifts Writers Readers Librarian Bookaholic Bookworm – 16 Oz Coffee Glass","B0CKYMNV39","Kitchen","34",,"20.77","0","0","0","1","2.94","19.91","0","0","0","0",,"0","0","0","0","0.0","0.0",,,"0","0","0","2025-03-31"
"NewEleven Fathers Day Gift For Dad - Birthday Gifts For Dad From Daughter - Husband Gifts - Unique Birthday Present Ideas For Father, Husband, New Papa, Bonus Father From Daughter - 20 Oz Tumbler","B0CM5R5BDX","Kitchen","56",,"25.02","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-03-31"
"NewEleven Fathers Day Gift For Dad - Birthday Gifts For Dad From Daughter - Husband Gifts - Unique Birthday Present Ideas For Father, Husband, New Papa, Bonus Father From Daughter - 20 Oz Tumbler","B0CM5RY3QS","Kitchen","17",,"24.98","0","0","0","1","5.88","25.32","0","0","0","0",,"0","0","0","0","0.0","0.0",,,"0","0","0","2025-03-31"
"NewEleven 60th Birthday Gifts - 1964 Decorations - 60 Year Old Gifts For Men, Women, Mom, Dad, Wife, Husband - 20 Oz Tumbler","B0CN8ZP46N","Kitchen","8015",,"13.98","145","4102","2425","59","0.74","13.98","2","27","18","12","13.98","0","7","3","2","27.96","3.39",,"13.98","0","1","1","2025-03-31"
"50th Birthday Gifts For Men Women - 1974 50th Birthday Decorations For Men Women - Gifts For Men Women Turning 50 - 50 Year Old Gifts For Men, Women, Mom, Dad, Wife, Husband - 20 Oz Tumbler Black","B0CN93621G","Kitchen","15",,"27.5","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-03-31"
"NewEleven 50th Birthday Gifts For Men Women - 1974 50th Birthday Decorations - Gifts For Men Women Turning 50-50 Year Old Gift For Man, Woman, Mom, Dad, Wife, Husband - 20 Oz Tumbler","B0CN93LZ5M","Kitchen","4346",,"13.98","13","880","418","38","0.87","13.98","0","7","7","13","13.98","0","4","1","5","69.9","13.16",,"13.98","0","2","1","2025-03-31"
"NEWELEVEN Gifts from Daughter, Son, Kids, Wife - Birthday Gifts for New Dad, Husband, Men - Best Present Idea for Father, Husband, Bonus Dad from Daughter, Son, Wife - 20 Oz Tumbler","B0CQ2HR9WG","Kitchen","199948",,"17.98","13402","136135","36316","2135","1.07","17.98","144","1453","397","511","17.98","44","346","97","165","2967.7","7.73",,"17.98","15","114","33","2025-03-31"
"NEWELEVEN Gifts for Auntie - Auntie Birthday Present - Aunt Gift for Auntie from Niece, Nephew - Best Presents for Special Aunt, Auntie Mug, Aunty Gift - 16 Oz Coffee Glass","B0CQK1NB66","Kitchen","154273",,"14.98","22063","112262","13768","1366","0.89","14.98","185","997","132","750","14.98","105","543","72","244","3749.04","17.86",,"14.98","39","172","25","2025-03-31"
"Mothers Day Gifts For Mum - Gifts For Mum From Daughter, Son, Kids - Mothers Day Gifts For Mum, Her, Women, Wife - Best Birthday Presents For Mum, Mother, New Mum, Pregnant Mum - 16 Oz Coffee Glass","B0CQK1SY2M","Kitchen","22242",,"15.98","59","10417","9387","157","0.71","15.98","0","73","68","89","15.98","0","50","31","11","175.78","7.01",,"15.98","0","6","5","2025-03-31"
"NEWELEVEN Mothers Day Gifts for Mum - Birthday Present for Mum, Wife from Daughter, Son, Kids, Husband - Unique Birthday Gift for Mummy, Mother, Wife, Mom - 20 Oz Tumbler","B0CQLL3M3G","Kitchen","119724",,"15.98","15338","87709","10646","1169","0.98","15.98","160","856","99","269","15.98","36","201","23","90","1304.16","7.7",,"14.98","13","73","3","2025-03-31"
