Reporting Range=["Monthly"],Select year=["2025"],Select month=["May"],Brand=["NEWELEVEN"]
"ASIN title",ASIN,Category,"Impressions: Impressions","Impressions: Rating (Median)","Impressions: Price (Median)","Impressions: Same-Day Shipping Speed","Impressions: 1D Shipping Speed","Impressions: 2D Shipping Speed","Clicks: Clicks","Clicks: Click Rate (CTR)","Clicks: Price (Median)","Clicks: Same-Day Shipping Speed","Clicks: 1D Shipping Speed","Clicks: 2D Shipping Speed","Cart Adds: Cart Adds","Cart Adds: Price (Median)","Cart Adds: Same-Day Shipping Speed","Cart Adds: 1D Shipping Speed","Cart Adds: 2D Shipping Speed","Purchases: Purchases","Purchases: Search Traffic Sales","Purchases: Conversion Rate %","Purchases: Rating (Median)","Purchases: Price (Median)","Purchases: Same-Day Shipping Speed","Purchases: 1D Shipping Speed","Purchases: 2D Shipping Speed","Reporting Date"
"Christmas Gifts For Women - Best Friend Birthday Gifts For Women – Female Friendship Gifts, Sisters Gifts From Sister - Funny Bday Presents Unique Gifts For Her, BFF, Bestie - 16 Oz Coffee Glass","B0BRB5SPYZ","Kitchen","1",,"29.58","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-05-31"
"NewEleven Galentines Gifts For Sister From Sister, Brother - Unique Birthday Present For Sister, Soul Sister, Big Sister, Little Sister, Sister In Law, Sibling, Bestie - 16 Oz Coffee Glass","B0BRB6J55H","Kitchen","4",,"40.89","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-05-31"
"NewEleven Coworker Leaving Gifts - Gifts For Coworker Farewell, Going Away, Goodbye, New Job - Good Luck Presents For Friends, Boss, Women, Work Bestie – 16 Oz Coffee Glass","B0BRB6NJCT","Kitchen","26",,"45.78","0","0","0","2","7.69","45.32","0","0","0","0",,"0","0","0","0","0.0","0.0",,,"0","0","0","2025-05-31"
"Bride To Be Gifts For Her - Wedding Gifts For Bride - Bridal Shower Engagement Gifts For Women - Bachelorette Gifts For Bride, Fiancee, Wifey - Bachelorette Party Decorations - 16 Oz Coffee Glass","B0BRCCZLL8","Kitchen","11",,"43.69","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-05-31"
"NewEleven Christmas Gifts For Women Friendship - Funny Gifts For Friends Female - Unique Friendship Gift For Women, Friend, Female, Bestie, Bff, Soul Sister, Work Bestie - 16 Oz Coffee Glass","B0BRCDZRSP","Kitchen","28",,"45.78","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-05-31"
"NewEleven Gifts For Dog Lovers, Dog Owners, Dog Mama, Dog Mom, Fur Mama - Dog Mom Gifts For Women - Cute Funny Gifts For Women, Best Friend, Girlfriend - 16 Oz Coffee Glass","B0BRCG7S9H","Kitchen","55",,"29.05","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-05-31"
"NewEleven Mothers Day Gifts For Sister From Sister, Brother - Unique Birthday Present For Sister, Soul Sister, Big Sister, Little Sister, Sister In Law, Sibling, Bestie - 16 Oz Coffee Glass","B0BYCSHGYX","Kitchen","11",,"47.88","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-05-31"
"NewEleven Mothers Day Gifts for Aunt from Niece, Nephew - Cool Gifts for Auntie, Sister - Aunty Birthday Gift - Announcement, Promoted to Aunt - 16 Oz Coffee Glass","B0BYCT1SRJ","Kitchen","39299",,"22.98","3514","25761","5407","374","0.95","22.98","23","247","67","169","22.98","16","107","30","33","896.22","8.82",,"22.98","5","20","5","2025-05-31"
"NewEleven Gifts For Nurse - Nurse Gifts For Women - Caregiver Appreciation Gift, Nursing Student, Nurses Practitioner - RN Gift For Nurses Women - 16 Oz Coffee Glass","B0BYDBW7PH","Kitchen","33",,"35.79","0","0","0","3","9.09","35.79","0","0","0","0",,"0","0","0","0","0.0","0.0",,,"0","0","0","2025-05-31"
"NEWELEVEN Gifts for Book Lovers - Book Lovers Gifts for Women - Bookish Gifts for Readers, Librarians, Bookaholics, Bookworm - Birthday Gifts for Women, Her, Best Friend – 16 Oz Coffee Glass","B0BYDDFNBD","Kitchen","28671",,"23.98","1917","18579","4210","265","0.92","23.98","16","175","38","109","23.98","10","73","12","15","359.7","5.66",,"23.98","1","12","1","2025-05-31"
"Birthday Gifts For Women - Best Friend Giftss for Women – Female Friendship Gifts, Sisters Gifts From Sister - Funny Birthday Presents Unique Gag Gifts For BFF, Bestie, Coworker - Lavender Candle 8 Oz","B0BYHP62T5","Home","7",,"36.49","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-05-31"
"NewEleven Cute Glass Coffee Cups With Lids And Straw – Aesthetic Cups – Iced Coffee Cup, Coffees Tumbler – Galentines Gifts For Women, Coffees Lover - 16 Oz Coffee Glass","B0C1BS7BV8","Kitchen","14",,"49.86","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-05-31"
"NewEleven Iced Coffee Cup With Bamboo Lids And Glass Straws For Boba, Smoothie, Cocktail - 16 Oz Coffee Glass","B0C1BYB4SH","Kitchen","10",,"40.35","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-05-31"
"NewEleven Bridesmaid Gifts - Bridesmaid Proposal Gifts, Bridal Shower Decorations Gift - Iced Coffee Cup With Bamboo Lids And Glass Straws For Boba, Smoothie, Cocktail - 16 Oz Coffee Glass","B0C1C1F4M4","Kitchen","30",,"41.61","0","0","0","1","3.33","41.61","0","0","0","1","41.61","0","0","0","0","0.0","0.0",,,"0","0","0","2025-05-31"
"NewEleven Sloth Gifts For Women - Sloth Gifts, Sloth Stuff For Sloth Lovers - Cute Funny Birthday Gifts For Women, Best Friend, Sister, Daughter, Coworker - 16 Oz Coffee Glass","B0C23XHCN1","Kitchen","3",,"45.78","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-05-31"
"NewEleven Penguin Gifts For Women - Penguin Gifts, Penguin Stuff For Penguin Lovers - Cute Funny Birthday Gifts For Women, Best Friend, Sister, Daughter, Coworker - 16 Oz Coffee Glass","B0C23Y5ZYH","Kitchen","8",,"45.78","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-05-31"
"NewEleven Cow Gifts For Women - Cow Gifts, Cow Stuff For Cow Lovers - Cute Funny Birthday Gifts For Women, Best Friend, Sister, Daughter, Coworker - 16 Oz Coffee Glass","B0C242DYT4","Kitchen","15",,"45.78","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-05-31"
"Retirement Gifts For Men Women 2023 - Retired Gifts For Men, Women - Retirement Party Decorations - Fun Retirement Gifts For Women, Men, Retired People, Coworkers, Friends - 20 Oz Tumbler","B0C3CW184G","Kitchen","10",,"64.53","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-05-31"
"NewEleven Gifts For Women Friendship - Funny Gifts For Friends Female - Unique Friendship Gifts For Women, Friend, Female, Bestie, Bff, Soul Sister, Work Bestie - 20 Oz Tumbler","B0C3CWNMC4","Kitchen","12",,,"0","0","0","1","8.33",,"0","0","0","0",,"0","0","0","0","0.0","0.0",,,"0","0","0","2025-05-31"
"NewEleven 40th Birthday Gifts for Men Women - Vintage 1983 50th Birthday Decorations Men Women - Retro Trucker Hat (1983 Black)","B0C6DL59L9","Apparel","20",,"20.98","0","0","0","2","10.0","20.98","0","0","0","0",,"0","0","0","0","0.0","0.0",,,"0","0","0","2025-05-31"
"NewEleven Mothers Day Gifts for Mom - Birthday Gifts for Mom from Kids – Unique Birthday Present Ideas for Mother, New Mom, Mom to Be, Wife from Daughter, Son, Husband - 16 Oz Coffee Glass","B0C9BZRC4K","Kitchen","79206",,"19.98","2090","32268","21744","623","0.79","16.98","18","235","165","240","16.98","9","94","63","71","1451.4","11.4",,"16.98","4","33","13","2025-05-31"
"NewEleven Gifts For Sister From Sister, Brother - Unique Birthday Present For Sister, Soul Sister, Big Sister, Little Sister, Sister In Law, Sibling, Bestie - 16 Oz Coffee Glass","B0C9C5VX7S","Grocery","28",,"49.69","0","0","0","1","3.57","49.47","0","0","0","1","49.47","0","0","0","0","0.0","0.0",,,"0","0","0","2025-05-31"
"NewEleven Gifts for Aunt - Cool Presents for New Auntie, Sister - Birthday, Announcement, Promoted to Aunt - 20 Oz Tumbler","B0C9D2PHMH","Kitchen","9484",,"22.98","151","4368","2825","48","0.51","22.98","1","14","15","21","22.98","0","8","5","3","68.94","6.25",,"22.98","0","0","1","2025-05-31"
"Coworker Leaving Gifts - Farewell Gifts, Going Away Gift For Coworker - New Job, Goodbye, Good Luck Gifts For Coworkers, Colleagues, Boss, Work Bestie, Women, Friends - 16 Oz Coffee Glass","B0CBJQZCFY","Kitchen","22",,"45.32","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-05-31"
"NewEleven Nurse Gifts For Women - Nurse Accessories for Nurses, Nursing Student, Nurse Practitioner, Registered Nurse - Nurse Gifts For Birthday, Appreciation Week, Graduation - 16 Oz Coffee Glass","B0CBJR253J","Kitchen","26",,"36.22","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-05-31"
"NewEleven Gifts For Mom From Daughter, Son - Mom Gifts - Birthday Gifts For Mom - Mothers Day Gifts For Mom, Wife, Women - Funny Birthday Presents From Daughter, Son, Husband - 16 Oz Coffee Glass","B0CBJSYJJS","Kitchen","6",,"41.49","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-05-31"
"NewEleven Gifts For Book Lovers - Book Lovers Gifts For Women, Her, Friends - Book Accessories, Bookish Gifts For Writers, Readers, Librarian, Bookaholic, Bookworm – 16 Oz Coffee Glass","B0CCDLWRTD","Kitchen","81",,"22.98","0","0","0","1","1.23","22.98","0","0","0","0",,"0","0","0","0","0.0","0.0",,,"0","0","0","2025-05-31"
"Coworker Leaving Gifts - Farewell Gifts, Going Away Gift For Coworker - New Job Gifts, Goodbye Gifts, Good Luck Gifts For Coworkers, Friends, Boss, Men, Women - 20 Oz Tumbler Navy","B0CDLPSMGF","Kitchen","5",,"56.52","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-05-31"
"NewEleven Birthday Gifts For Women, Men - Fathers Day Gift For Men, Dad, Husband, Friend - Thank You Gifts, Appreciation Gifts, Graduation Gifts For Men, Nurse, Teacher, Boss, Coworker – 20 Oz Tumbler","B0CDLQFJK6","Kitchen","10",,"50.24","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-05-31"
"NewEleven Gifts for Men, Women - Funny Gag Gifts Ideas for Dad, Mom, Grandpa, Grandma, Husband, Wife, Uncle, Him - 40th 50th 60th 70th 80th Birthday Gifts for Men Women – 20 Oz Tumbler","B0CDLQGPKC","Kitchen","257",,"40.46","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-05-31"
"NEWELEVEN Coworker Leaving Gift - Farewell, Going Away, New Job, Goodbye, Good Luck for Coworkers, Friends, Boss, Men, Women - 20 Oz Tumbler (Navy)","B0CDLSGXDY","Kitchen","5837",,"22.98","0","0","1540","112","1.92","22.98","0","0","32","18","22.98","0","0","5","2","114.9","1.79",,"22.98","0","0","0","2025-05-31"
"NewEleven Coworker Gifts For Women – Chaos Coordinator Gifts For Women, Men, Boss, Manager, Coworker - Thank you, Appreciation, Inspirational Gifts For Teacher, Nurse, Social Worker – 20 Oz Tumbler","B0CFQ4CDD5","Kitchen","5",,"52.33","0","0","0","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-05-31"
"NewEleven Fathers Day Gift for Dad - Birthday Gifts for Dad from Daughter, Son, Kids - Husband Gift - Birthday Present Ideas for Father, New Papa, Bonus Father from Daughter, Son - 20 Oz Tumbler","B0CG8N67SJ","Kitchen","25518",,"24.98","1429","15994","4114","263","1.03","24.98","16","160","43","51","24.98","3","30","7","9","224.82","3.42",,"24.98","0","6","0","2025-05-31"
"NewEleven Mothers Day Gifts for Mom, Wife - Gifts for Mom from Daughter, Son, Kids - Unique Birthday Present Ideas for Mother, Wife, New Mama from Daughter, Son, Husband - 20 Oz Tumbler","B0CG8NHNWF","Kitchen","31524",,"22.99","2789","17865","5700","267","0.85","22.99","23","152","50","61","22.99","6","40","9","20","522.8","7.49",,"24.99","2","14","2","2025-05-31"
