item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	merchant-shipping-group	status
NewEleven Fathers Day Gift For Dad - Cool Dad Gifts From Daughter - Unique Birthday Present Ideas For Father, Husband, Bonus Papa, Step Father, New Papa From Daughter - 20 Oz Tumbler	Tumbler	0922AVNXMOP	5B-L34H-TU17	19.98		2023-09-21 19:52:10 PDT		y	3			11				B0CJLM3SV5						850057187021				AMAZON_NA	Migrated Template	Active
NewEleven 50th Birthday Gifts for Her	Ornament	1212BOHFHMM	5L-JJQW-3R4J	4.99		2024-12-12 01:19:09 PST		y	3			11				B0DQ8L1DQW						810181270365				AMAZON_NA	Migrated Template	Active
NewEleven 20 Oz Tumbler - Christmas Gifts for Dad from Kids	Tumbler	0320YQ4X564	5O-AIII-N41X	15.98		2021-03-20 04:02:22 PDT		y	3			11				B08ZKZ1FJK						707785057686				AMAZON_NA	Migrated Template	Active
NewEleven Bridal Shower Gifts - Wedding Gifts For Bride - Bachelorette Gift, Engagement Presents For Women - Gift For Bride To Be, Fiancee, Wifey, Her - 16 Oz Coffee Glass	Coffee Cup	1230ZE89PEL	63-QY4L-OED4	13.98		2022-12-29 20:53:30 PST		y	3			11				B0BRCCZLL8						850041250885				AMAZON_NA	Migrated Template	Active
NewEleven Godmother Gifts for Christmas, Godmom Proposal Gift - Will You Be My Godmother - Mom Present from Godchild - Christmas Ornament 2025	Ornament	1104BN3D8A2	64-SAL7-XCWT	4.99		2024-11-03 17:59:58 PST		y	3			11				B0DLVRTFN9						810181270242				AMAZON_NA	Migrated Template	Active
NewEleven Gifts For Book Lovers - Book Lovers Gifts For Women, Her, Friends - Book Accessories, Bookish Gifts For Writers, Readers, Librarian, Bookaholic, Bookworm – 16 Oz Coffee Glass	Coffee cup	0426B6S2UL9	68-JFET-D7YN	13.98		2024-04-26 00:06:26 PDT		y	3			11				B0CCDLWRTD						850050994732				AMAZON_NA	Migrated Template	Active
NewEleven Thank You Gifts Difference Maker - Christmas, Birthday Gifts for Women, Men - Teacher Appreciation Gift, Graduation Gift, Retirement Present for Woman, Ceramic Ornament	Ornament	0614B4XNLP9	6K-L9YU-Z8JE	6.99		2024-06-13 20:45:41 PDT		y	3			11				B0D739JLH2						850062760257				AMAZON_NA	Migrated Template	Active
NewEleven 40th Birthday Gifts For Women - 40th Birthday Decorations For Women, Her - Best 40 Year Old Gifts Ideas For Wife, Mom, Friends, Sister - Turning 40 Presents For Female - 12 Oz Tumbler	Tumbler	0605XCELJ7K	6O-P3K0-CFHN	14.99		2020-06-05 01:48:51 PDT		y	3			11				B089QFK8NV						707785053268				AMAZON_NA	Migrated Template	Active
NewEleven Personalized Monogrammed Gifts For Women – Customized Birthday Gifts For Women, Friends, Girls - Galentines Gifts For Her G - 16 Oz Coffee Glass	Coffee cup	1218A74WVY9	6U-PZ7L-SI1S	19.99		2023-12-18 02:06:46 PST		y	3			11				B0CQK4MG56						850057187458				AMAZON_NA	Migrated Template	Active
NewEleven 21st Birthday Gifts For Women, Her - 2004 Birthday Decorations - 21 Year Old Gifts Ideas For Women, Her, Daughter, Sister, Best Friends - 16 Coffee Glass	Coffee Cup	0504BRME1O3	73-AOV6-10DJ	16.98		2024-05-04 00:52:06 PDT		y	3			11				B0D39T2MVK						850062760110				AMAZON_NA	Migrated Template	Active
NewEleven Retirement Gifts For Woman 2025 - Happy Retirement Gifts For Coworker Leaving - Farewell, Goodbye Presents For Women, Coworkers, Friends - 20 Oz Tumbler	Tumbler	0407ZJXABVQ	74-78DN-W52B	21.98		2022-04-06 22:03:34 PDT		y	3			11				B09XDFLNR8						850041250014				AMAZON_NA	Migrated Template	Active
NewEleven 40th Birthday Gifts For Women - 40s Birthday Decorations For Women - 40 Year Old Gifts For Her, Sister, Mom, Daughter, Best Friend - In My Forties Era Wine Tumbler - 12 Oz Tumbler	Tumbler	0322BFQOTLE	75-LNB7-IBAL	17.98		2024-03-21 21:16:46 PDT		y	3			11				B0CYS94K31						850057187885				AMAZON_NA	Migrated Template	Active
NewEleven Gifts For Dad, Dad Birthday Gift For Father From Daughter, Son, Kid, Wife - Birthday Card, Unique Gifts, Funny Present For Dads, Humorous Greeting Card	Introducing the NewEleven Dad Birthday Card, the ideal embodiment of humor, warmth, and sentimentality, designed to make your dad's special day truly memorable. Whether you're searching for dad birthday gifts from daughter or exploring happy birthday dad that leave a lasting impression, this card is your go-to choice. Celebrate your dad's birthday with a gesture that combines the great balance of funny and cute, ensuring it becomes a cherished keepsake. Crafted with premium materials and a design that exudes class and charm, this card serves as a meaningful token of appreciation for the man who has always been your guiding star. The NewEleven card is not just a card; it's a heartfelt message wrapped in creativity, making it one of the best birthday gifts for dad from daughter available. Whether it's a birthday gift for dad or a 'happy birthday dad' sentiment, this card speaks volumes. The NewEleven card is versatile enough to be a standout among birthday gifts for dad, as well as a thoughtful addition to father’s day gifts. Its humorous yet touching message is perfect for expressing love and gratitude, making it a cool birthday gifts dad gifts. The card's design captures the essence of the 'best dad ever gifts,' ensuring your dad feels special and appreciated. Whether you're looking for a dad birthday gift from daughter, a father's day card, or birthday presents for dad, the NewEleven card is a versatile and thoughtful option. Its humorous touch makes it a funny birthday gifts for dad from daughter that stands out among other fathers day card from daughter. Let your dad know he's appreciated with a card that expresses your love in the most heartfelt way possible, making every occasion unforgettable.	0417FHWKTSM	7G-FTQK-LHH4	7.99		2025-04-16 22:50:39 PDT		y	3			11				B0F59PXL1F						810181270761				AMAZON_NA	Migrated Template	Active
NewEleven Gifts For Women – Chaos Coordinator Gifts For Women, Boss, Manager, Coworker, Best Friend - Appreciation, Inspirational Gift For Teacher, Nurse, Social Worker – 20 Oz Tumbler	Tumbler	0815AZ2CCAE	7K-U1QW-2RDX	17.98		2023-08-14 21:57:46 PDT		y	3			11				B0CFQ4CDD5						850050994824				AMAZON_NA	Migrated Template	Active
NewEleven 40th Birthday Gifts For Men Women - 1985 40th Birthday Decorations For Men Women - Turning 40-40 Year Old Gifts For Man, Woman, Mom, Dad, Wife, Husband - 20 Oz Tumbler	Tumbler	0917B3II1CD	7N-6OBC-K7DN	19.98		2024-09-16 20:29:52 PDT		y	3			11				B0DH7PQ1RX						850062760547				AMAZON_NA	Migrated Template	Active
