item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	merchant-shipping-group	status
NewEleven Gifts For Teacher - Teacher Gifts For Women - Teacher Appreciation Gifts, Thank You Teacher Gifts, Teacher Retirement Gifts - End Of Year Teacher Gifts From Student - 16 Oz Coffee Glass		0404BY6KUMT	DQ-DU5J-C7CQ	17.67		2024-04-04 06:52:32 PDT		y	1			11				B0D1GHNG9D						B0D1GHNG9D				AMAZON_NA	Migrated Template	Inactive
40th Birthday Gifts For Women - 1982 40th Birthday Decorations For Women - Gifts for Women Turning 40 - 40 Year Old Gifts For Wife, Mom, Friends, Sister - 22 Oz Champagne Glass		0720Z4ND3M9	DT-DA6D-4WYW	33.86		2022-07-20 09:24:20 PDT		y	3			11				B0B4WNS2YH						850041250281				AMAZON_NA	Migrated Template	Inactive
NewEleven Gifts For Aunt From Niece, Nephew - Cool Gifts For New Aunt, Auntie, Sister - Aunts Birthday Gift - Announcement, Promoted To Aunty, Best Auntie Ever - 16 Oz Coffee Glass	Aunt Gifts - Mothers Day Gifts For Aunt From Niece, Nephew - Birthday Gifts For Aunt, New Aunt, Aunties - Best Aunt Ever Gifts For Aunt, Aunt Announcement, Promoted To Aunt - 16 Oz Coffee Glass	0923ZPBU2VX	DT-HT71-4QRG	29.98		2022-09-23 11:01:55 PDT		y	1			11				B0BC8SB3Y4						B0BC8SB3Y4				AMAZON_NA	Migrated Template	Inactive
NEWELEVEN 30th Birthday Gifts For Her Women - 1994 30th Birthday Decorations For Women Her - 30 Year Old Birthday Idea Presents For Women, Her, Daughter, Girlfriend, Friends, Sisters - 12 Oz Tumbler		0302ZLDQPAA	DU-F7MS-137W	33.18		2022-03-01 19:43:09 PST		y	3			11				B09S8KNXQK						860007389450				AMAZON_NA	Migrated Template	Inactive
NewEleven Fathers Day Gift For Grandpa From Granddaughter, Grandson - Birthday Present Ideas For Grandfather, New Grampa, Promoted To Grandfather, Grandchildren, Grandkid - 20 Oz Tumbler		0601Y046Z3M	DW-NMEH-X37K	22.98		2021-05-31 21:26:38 PDT		y	3			11				B094CFGN42						707785084866				AMAZON_NA	Migrated Template	Inactive
Anniversary Gifts for Him, Her - Boyfriend Gifts, Girlfriend Gifts, I Love You Gifts for Her, Him - Romantic Candles, Birthday Gifts for Boyfriend, Girlfriend, Husband, Wife - Lavender Candle 8 Oz		0813ZRJN1T5	E0-IUPF-XQ9S	25.54		2022-08-13 10:36:04 PDT		y	3			11				B0B6FLPLFM						850041250472				AMAZON_NA	Migrated Template	Inactive
NewEleven Bridal Shower Gifts - Wedding Gifts for Bride - Bride to Be, Bachelorette Gifts, Engagement Gifts for Women - Bride Gifts for Bride to Be, Fiancee, Wifey, Her - 16 Oz Candle		0321BGBPML3	E1-DVTQ-V1BF	25.73		2024-03-21 09:07:26 PDT		y	1			11				B0CYSCBGQ9						B0CYSCBGQ9				AMAZON_NA	Migrated Template	Inactive
NewEleven 60th Birthday Gifts For Women, Her - Vintage 1964 60th Birthday Decorations For Women - 60 Year Old Present Ideas For Wife, Mom, Grandma, Friends, Female - 16 Oz Wine Glass		0109BOYB6AE	E3-HD9J-GXWE	27.18		2024-01-09 14:44:02 PST		y	1			11				B0CM5SQT4T						B0CM5SQT4T				AMAZON_NA	Migrated Template	Inactive
NewEleven for Mom, New Mom - Gifts for a Mom of Boys, Pregnant Mom, Expecting Mom, Mama, Mom to Be, Mommy to Be - Baby Boy Announcement Gift Ceramic Ornament		1121B3LP8SK	E4-PNYA-O0P7	9.51		2024-11-21 04:42:06 PST		y	1			11				B0DLT3SDLB						B0DLT3SDLB				AMAZON_NA	Migrated Template	Inactive
NewEleven Birthday Gifts for Women, for Women, Friendship Gift for Women, Best Friend, Bestie, BFF, Soul Sister Gifts for Women - Gifts for Her, Sister - Ceramic Christmas Ornaments		1031BFX60ZN	E6-1EAW-03X5	10.87		2024-10-31 16:20:51 PDT		y	1			11				B0DJY9X9SX						B0DJY9X9SX				AMAZON_NA	Migrated Template	Inactive
