Reporting Range=["Monthly"],Select year=["2025"],Select month=["April"],Brand=["NEWELEVEN"]
"ASIN Title",ASIN,Category,"Impressions: Impressions","Impressions: Rating (Median)","Impressions: Price (Median)","Impressions: Same Day Shipping Speed","Impressions: 1D Shipping Speed","Impressions: 2D Shipping Speed","Clicks: Clicks","Clicks: Click Rate (CTR)","Clicks: Price (Median)","Clicks: Same Day Shipping Speed","Clicks: 1D Shipping Speed","Clicks: 2D Shipping Speed","Cart Adds: Cart Adds","Cart Adds: Price (Median)","Cart Adds: Same Day Shipping Speed","Cart Adds: 1D Shipping Speed","Cart Adds: 2D Shipping Speed","Purchases: Purchases","Purchases: Search Traffic Sales","Purchases: Conversion Rate %","Purchases: Rating (Median)","Purchases: Price (Median)","Purchases: Same Day Shipping Speed","Purchases: 1D Shipping Speed","Purchases: 2D Shipping Speed","Reporting Date"
"NewEleven Mothers Day Gifts For Cat Mom, Cats Lover - Cat Gifts For Women - Cute Kitten Stuff, Cats Themed Gift For Women - Cute Funny Gift For Her, Best Friend - 16 Oz Coffee Glass","B0BRCJ5VYH","Kitchen","49657",,"12.98","3398","29217","12365","334","0.67","12.98","27","198","87","177","12.98","14","109","41","36","484.26","10.78",,"12.98","5","22","5","2025-04-30"
"NewEleven Gifts For Sister From Sisters, Brother - Unique Birthday Present, Soul Sister, Big Sis Little Sis, Sisters In Law, Sibling, Bestie - 16 Oz Coffee Glass","B0BYCSHGYX","Kitchen","702",,"15.98","9","228","274","4","0.57","15.98","0","0","0","2","15.98","0","0","0","1","15.98","25.0",,"15.98","0","0","0","2025-04-30"
"NewEleven Mothers Day Gifts For Aunt From Niece, Nephew - Cool Gifts For Auntie, Sister - Aunty Birthday Gift - Announcement, Promoted To Aunt - 16 Oz Coffee Glass","B0BYCT1SRJ","Kitchen","97232",,"15.98","6866","61115","21766","867","0.89","15.98","73","584","168","459","15.98","49","305","83","104","1869.66","12.0",,"15.98","9","74","16","2025-04-30"
"NewEleven Gifts For Women, Her - Daily Reminder, Mental Health Gifts - Inspirational Present For Best Friend, Sister, Mom, Wife, Aunt, Her, Daughter, Coworker - 16 Oz Coffee Glass","B0BYDBPSBQ","Kitchen","114",,"14.98","3","9","45","0","0.0",,"0","0","0","0",,"0","0","0","0","0.0",,,,"0","0","0","2025-04-30"
"NewEleven Gifts For Nurse - Nurse Gifts For Women - Caregiver Appreciation Gift, Nursing Student, Nurses Practitioner - RN Gift For Nurses Women - 16 Oz Coffee Glass","B0BYDBW7PH","Kitchen","5022",,"15.98","128","2808","1607","41","0.82","15.98","1","26","9","11","15.98","0","7","3","1","15.98","2.44",,"15.98","0","1","0","2025-04-30"
"NewEleven Gifts For Book Lovers - Book Lovers Gifts For Women - Bookish Gift for Readers, Librarians, Bookaholics, Bookworm - Birthday Gift For Women, Her, Best Friend – 16 Oz Coffee Glass","B0BYDDFNBD","Kitchen","90622",,"14.98","5170","51670","25280","573","0.63","14.98","30","325","178","268","14.98","17","151","79","55","823.9","9.6",,"14.98","6","32","14","2025-04-30"
"NewEleven Gifts for Women Friendship - Funny Gifts for Friends Female - Unique Friendship Gifts for Women, Friend, Female, Bestie, BFF, Soul Sister, Work Bestie - Lavender Candle 8 Oz","B0BYHP62T5","Home","219",,"9.99","0","45","64","1","0.46","9.99","0","0","0","0",,"0","0","0","0","0.0","0.0",,,"0","0","0","2025-04-30"
"NewEleven Cute Glass Coffee Cups With Lids And Straw – Aesthetic Cups – Iced Coffee Cup, Coffees Tumbler – Galentines Gifts For Women, Coffees Lover - 16 Oz Coffee Glass","B0C1BS7BV8","Kitchen","8947",,"17.98","262","4170","2968","76","0.85","17.98","3","39","23","21","17.98","0","12","5","2","35.96","2.63",,"17.98","0","1","0","2025-04-30"
"NewEleven Gifts Cute Glass Coffee Cups With Lids And Straw – Aesthetic Cups – Iced Java Cup, Tumbler – Gifts For Women, Java Lover - 16 Oz Coffee Glass","B0C1BYB4SH","Kitchen","1670",,"15.98","30","562","645","7","0.42","15.98","0","1","5","4","15.98","0","0","4","1","15.98","14.29",,"15.98","0","0","1","2025-04-30"
"NewEleven Cute Cups With Lids And Straw – Aesthetic Cups – Iced Java Cup, Coffee Tumbler, Glass Tumbler – Galentines Gifts For Women, Java Lover - 16 Oz Coffee Glass","B0C1C1F4M4","Kitchen","818",,"12.99","1","109","363","9","1.1","12.99","0","1","3","2","12.99","0","0","0","0","0.0","0.0",,,"0","0","0","2025-04-30"
