Reporting Range=["Monthly"],Select year=["2025"],Select month=["May"],Brand=["NEWELEVEN"]
"ASIN Title",ASIN,Category,"Impressions: Impressions","Impressions: Rating (Median)","Impressions: Price (Median)","Impressions: Same Day Shipping Speed","Impressions: 1D Shipping Speed","Impressions: 2D Shipping Speed","Clicks: Clicks","Clicks: Click Rate (CTR)","Clicks: Price (Median)","Clicks: Same Day Shipping Speed","Clicks: 1D Shipping Speed","Clicks: 2D Shipping Speed","Cart Adds: Cart Adds","Cart Adds: Price (Median)","Cart Adds: Same Day Shipping Speed","Cart Adds: 1D Shipping Speed","Cart Adds: 2D Shipping Speed","Purchases: Purchases","Purchases: Search Traffic Sales","Purchases: Conversion Rate %","Purchases: Rating (Median)","Purchases: Price (Median)","Purchases: Same Day Shipping Speed","Purchases: 1D Shipping Speed","Purchases: 2D Shipping Speed","Reporting Date"
"NewEleven Coworker Leaving Gifts - Farewell Gifts, Going Away Gift For Coworker - New Job Gifts, Goodbye Gift, Good Luck Presents For Coworkers, Friends, Boss, Men, Women - 20 Oz Tumbler","B0B9RHZGFG","Kitchen","1853",,"19.98","11","350","885","21","1.13","19.98","0","5","9","3","19.98","0","1","0","1","19.98","4.76",,"19.98","0","0","0","2025-05-31"
"NewEleven Retirement Gifts For Women 2024 - Happy Retirement Gift - Coworker Leaving, Farewell, Goodbye Gifts For Coworkers, Friends - 12 Oz Tumbler","B0B9RLH8RV","Kitchen","3117",,"22.98","168","1723","878","18","0.58","22.98","1","13","4","2","22.98","0","2","0","0","0.0","0.0",,,"0","0","0","2025-05-31"
"NEWELEVEN 16 Oz Coffee Glass - Mama Needs Coffee - Transparent Glass - Reusable - 16 oz - Casual - Cold Drinks - Christmas, Mother's Day, Birthday - 1 Count","B0B9SF2R4R","Kitchen","71244",,"14.99","1410","29134","30519","812","1.14","14.99","17","352","346","364","14.99","9","165","158","133","1946.61","16.38",,"14.99","4","63","55","2025-05-31"
"NewEleven Mothers Day Gifts For Aunt From Niece, Nephew - Cool Gifts For New Aunt, Auntie, Sister - Aunts Birthday Gift - Announcement, Promoted To Aunty, Best Auntie Ever - 16 Oz Coffee Glass","B0BC8SB3Y4","Kitchen","8458",,"12.98","12","1537","4070","61","0.72","12.98","0","15","24","27","12.98","0","3","14","7","90.86","11.48",,"12.98","0","1","4","2025-05-31"
"NewEleven Gifts For Sister - Unique Birthday Present For Sisters, Soul Sis, Big, Little Sister, Sisters In Law, Sibling, Bestie - 16 Oz Coffee Glass","B0BC8WBYW7","Kitchen","1130",,"15.98","25","280","507","13","1.15","15.98","0","3","6","6","15.98","0","1","4","1","15.98","7.69",,"15.98","0","0","1","2025-05-31"
"NewEleven Mothers Day Gifts For Wife, Her - Wife Gifts From Husband - Gift For Her - Gift Ideas For Women, Bride To Be, Fiancee, Wifey - 16 Oz Coffee Glass","B0BDLH8KX3","Kitchen","11934",,"11.99","26","2342","5861","131","1.1","11.99","0","24","62","56","11.99","0","12","28","11","127.88","8.4",,"11.99","0","2","3","2025-05-31"
"NewEleven Cute Glass Coffee Cups With Lids And Straw – Aesthetic Cups – Iced Java Cup, Tumbler – Birthday Gifts For Women, Java Lover - 16 Oz Coffee Glass","B0BHVNXNYL","Kitchen","5407",,"14.98","50","901","2603","38","0.7","14.98","1","3","19","8","14.98","0","0","5","0","0.0","0.0",,,"0","0","0","2025-05-31"
"NewEleven Mothers Day Gifts For Mom - Present For Mom From Daughter, Son, Kids - Unique Birthday Gifts For Mother, New Mom, Mommy, Pregnancy - 16 Oz Coffee Glass","B0BHWDNYVL","Kitchen","44942",,"12.99","1310","20400","16894","712","1.58","11.99","34","339","248","207","11.98","10","95","74","66","852.99","9.27",,"9.99","4","30","24","2025-05-31"
"NewEleven Mother's Day & Father's Day Gift Set - 20 Oz Mom and Dad Tumbler Set","B0BNBGN799","Kitchen","151",,"33.4","15","87","25","1","0.66","33.4","0","1","0","0",,"0","0","0","0","0.0","0.0",,,"0","0","0","2025-05-31"
"NewEleven Gifts For Women Friendship - Funny Gifts For Friends Female - Unique Friendship Present For Her, Female, Bestie, Bff, Soul Sister, Work Bestie - 16 Oz Coffee Glass","B0BRB5SPYZ","Kitchen","10057",,"15.98","121","3552","4739","69","0.69","15.98","1","20","41","26","15.98","1","8","15","8","115.82","11.59",,"15.48","0","5","2","2025-05-31"
"NewEleven Gifts For Sister - Unique Birthday Present For Soul Sister, Big, Little Sis, Sisters In Law, Sibling, Bestie - 16 Oz Coffee Glass","B0BRB6J55H","Kitchen","2133",,"15.98","99","1240","515","33","1.55","15.98","1","21","7","7","15.98","0","4","1","2","31.96","6.06",,"15.98","0","2","0","2025-05-31"
"NewEleven Coworker Leaving Gifts - Gifts For Coworker Farewell, Going Away, Goodbye, New Job - Good Luck Presents For Friends, Boss, Women, Work Bestie – 16 Oz Coffee Glass","B0BRB6NJCT","Kitchen","59199",,"14.98","404","11931","28475","1111","1.88","14.98","5","200","547","266","14.98","3","58","122","77","1198.4","6.93",,"14.98","2","22","38","2025-05-31"
"NewEleven Bridal Shower Gifts - Wedding Gifts For Bride - Bachelorette Gift, Engagement Presents For Women - Gift For Bride To Be, Fiancee, Wifey, Her - 16 Oz Coffee Glass","B0BRCCZLL8","Kitchen","23861",,"13.98","250","6992","11913","193","0.81","13.98","1","66","100","90","13.98","1","32","45","27","377.46","13.99",,"13.98","0","11","14","2025-05-31"
"NewEleven Christmas Gifts For Women Friendship - Funny Gifts For Friends Female - Unique Friendship Gift For Women, Friend, Female, Bestie, Bff, Soul Sister, Work Bestie - 16 Oz Coffee Glass","B0BRCDZRSP","Kitchen","2903",,"15.98","111","1561","910","40","1.38","15.98","2","27","9","19","15.98","2","12","5","5","67.9","12.5",,"15.98","1","3","1","2025-05-31"
"NewEleven Mothers Day Gifts For Dog Lovers, Dogs Owners, Dog Moms, Fur Mama - Dog Mom Gifts For Women - Cute Funny Gift For Women, Best Friend, Girlfriend - 16 Oz Coffee Glass","B0BRCG7S9H","Kitchen","182255",,"7.99","5704","94264","61954","2060","1.13","7.99","66","1165","650","1343","7.99","51","782","404","556","4971.89","26.99",,"7.99","19","353","154","2025-05-31"
"NewEleven Mothers Day Gifts For Cat Mom, Cats Lover - Cat Gifts For Women - Cute Kitten Stuff, Cats Themed Gift For Women - Cute Funny Gift For Her, Best Friend - 16 Oz Coffee Glass","B0BRCJ5VYH","Kitchen","110982",,"9.99","6303","65701","28093","1129","1.02","9.99","67","713","251","660","9.99","42","435","137","203","2131.81","17.98",,"9.99","16","145","32","2025-05-31"
"NewEleven Gifts For Sister From Sisters, Brother - Unique Birthday Present, Soul Sister, Big Sis Little Sis, Sisters In Law, Sibling, Bestie - 16 Oz Coffee Glass","B0BYCSHGYX","Kitchen","1181",,"15.98","23","367","562","7","0.59","15.98","0","5","2","3","15.98","0","3","0","2","31.96","28.57",,"15.98","0","2","0","2025-05-31"
"NewEleven Mothers Day Gifts For Aunt From Niece, Nephew - Cool Gifts For Auntie, Sister - Aunty Birthday Gift - Announcement, Promoted To Aunt - 16 Oz Coffee Glass","B0BYCT1SRJ","Kitchen","107874",,"15.98","8555","66379","23491","904","0.84","15.98","84","603","147","509","15.98","46","345","80","129","2492.88","14.27",,"15.98","9","92","22","2025-05-31"
"NewEleven Gifts For Women, Her - Daily Reminder, Mental Health Gifts - Inspirational Present For Best Friend, Sister, Mom, Wife, Aunt, Her, Daughter, Coworker - 16 Oz Coffee Glass","B0BYDBPSBQ","Kitchen","1248",,"14.98","0","104","449","9","0.72","14.98","0","1","3","2","14.98","0","1","1","0","0.0","0.0",,,"0","0","0","2025-05-31"
"NewEleven Gifts For Nurse - Nurse Gifts For Women - Caregiver Appreciation Gift, Nursing Student, Nurses Practitioner - RN Gift For Nurses Women - 16 Oz Coffee Glass","B0BYDBW7PH","Kitchen","17331",,"14.98","495","9179","6092","213","1.23","14.98","6","126","63","86","12.98","4","51","23","23","366.51","10.8",,"12.98","3","14","4","2025-05-31"
"NewEleven Gifts For Book Lovers - Book Lovers Gifts For Women - Bookish Gift for Readers, Librarians, Bookaholics, Bookworm - Birthday Gift For Women, Her, Best Friend – 16 Oz Coffee Glass","B0BYDDFNBD","Kitchen","130167",,"14.98","5699","71727","39153","1063","0.82","14.98","44","621","285","617","14.98","29","375","151","144","1987.0","13.55",,"14.98","9","101","30","2025-05-31"
"NewEleven Gifts for Women Friendship - Funny Gifts for Friends Female - Unique Friendship Gifts for Women, Friend, Female, Bestie, BFF, Soul Sister, Work Bestie - Lavender Candle 8 Oz","B0BYHP62T5","Home","232",,"9.99","0","41","82","2","0.86","9.99","0","2","0","0",,"0","0","0","0","0.0","0.0",,,"0","0","0","2025-05-31"
"NewEleven Cute Glass Coffee Cups With Lids And Straw – Aesthetic Cups – Iced Coffee Cup, Coffees Tumbler – Galentines Gifts For Women, Coffees Lover - 16 Oz Coffee Glass","B0C1BS7BV8","Kitchen","23905",,"9.98","1689","14661","5302","344","1.44","9.98","31","215","60","132","9.98","10","89","18","22","307.5","6.4",,"9.98","4","14","1","2025-05-31"
"NewEleven Gifts Cute Glass Coffee Cups With Lids And Straw – Aesthetic Cups – Iced Java Cup, Tumbler – Gifts For Women, Java Lover - 16 Oz Coffee Glass","B0C1BYB4SH","Kitchen","3713",,"15.98","80","1264","1582","46","1.24","7.98","3","16","20","18","7.98","2","4","10","5","39.9","10.87",,"7.98","1","2","2","2025-05-31"
"NewEleven Cute Cups With Lids And Straw – Aesthetic Cups – Iced Java Cup, Coffee Tumbler, Glass Tumbler – Galentines Gifts For Women, Java Lover - 16 Oz Coffee Glass","B0C1C1F4M4","Kitchen","1035",,"12.99","2","108","473","3","0.29","12.99","0","1","1","0",,"0","0","0","0","0.0","0.0",,,"0","0","0","2025-05-31"
"NewEleven Gifts For Women - Stuff For Sloth Lovers - Cute Funny Birthday Gifts For Women, Best Friend, Sister, Daughter, Coworker - 16 Oz Coffee Glass","B0C23XHCN1","Kitchen","7353",,"14.98","139","2584","3327","98","1.33","14.98","2","28","52","42","14.98","0","13","24","12","179.76","12.24",,"14.98","0","3","7","2025-05-31"
"NewEleven Penguin Gifts For Women - Penguin Stuff For Pengy Lovers - Cute Funny Birthday Gift, Gift For Women, Best Friend, Sister, Daughter, Coworker - 16 Oz Coffee Glass","B0C23Y5ZYH","Kitchen","8898",,"14.98","97","2937","4092","78","0.88","14.98","0","23","47","40","14.98","0","15","24","10","149.8","12.82",,"14.98","0","4","6","2025-05-31"
"NewEleven Gifts For Her - Cow Gifts For Women - Stuff For Cow Lovers - Cute Funny Birthday Gift For Women, Best Friend, Sister, Daughter, Coworker - 16 Oz Coffee","B0C242DYT4","Kitchen","5349",,"14.98","126","2453","1957","46","0.86","14.98","0","26","16","16","14.98","0","11","4","2","29.96","4.35",,"14.98","0","1","0","2025-05-31"
"NewEleven Retirement Gifts For Woman 2025 - Happy Retirement Gifts For Coworker Leaving - Farewell, Goodbye Presents For Women, Coworkers, Friends - 20 Oz Tumbler","B0C3CW184G","Kitchen","4031",,"23.98","21","956","2019","43","1.07","23.98","0","5","25","11","23.98","0","3","6","5","143.88","11.63",,"23.98","0","1","3","2025-05-31"
